Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),61/236,7.961023334717098e-13,3.115184133692466e-09,0,0,3.28879167295218,91.6226072417856,SERPINA3;CCL4L1;HP;CXCL1;TNF;CXCL2;CXCL5;HYAL1;C3AR1;PROK2;OLR1;MAP3K7;SLC11A1;PLA2G4C;CYBB;FOS;IL1A;IL1B;KIT;AGTR1;TLR4;S100A9;CD44;MGLL;S100A8;CCL14;PTGER4;CCL13;PXK;CCL3L1;PTGER1;PTGER2;ALOX15;C5AR1;FPR1;CXCR4;AIF1;AGER;IL1RL1;CCL8;CCL5;CCL3;NLRP3;CCL2;CD14;CCL18;KLRG1;CCR1;AOC3;CCL24;CCL23;CCL21;PPBP;LYZ;SELE;BMP2;IL6;IL17D;CDO1;FCGR2B;FOLR2
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),72/308,1.5125924417054946e-12,3.115184133692466e-09,0,0,2.885424448905011,78.53316302408342,CSF3;CSF3R;CCL4L1;ZFAND6;DOCK8;LRRK2;AQP4;MT1X;GHR;MT2A;ZFP36;HYAL1;HYAL2;ANKRD1;LEPR;CASP1;CTSG;HLA-DPA1;JAK1;IFNA14;PTGIS;MME;DUSP1;IL11RA;LIFR;NPNT;HCK;IL1A;SFRP1;IL1B;IRF1;KIT;IL3RA;HCLS1;IRF8;CD47;GAS6;TLR4;IFNA10;CCL14;CCL13;CEBPA;ASAH1;CCL3L1;ALOX15;CXCR4;LILRA2;AIF1;LILRA3;ZFP36L2;DUOX1;CCL8;CCL5;CCL3;CCL2;CD58;CCL18;IL12RB1;GBP4;CCR1;EGR1;CCL24;CCL23;CCL21;PYHIN1;PDE2A;LILRB2;IL6;CXCL12;IL2RB;MNDA;IL7R
GO_Biological_Process_2023,Positive Regulation Of Phagocytosis (GO:0050766),25/60,8.484752247999792e-11,1.1649564836503715e-07,0,0,6.665433012583272,154.5724935144946,FCN1;COLEC11;FCN3;PLA2G5;GATA2;TNF;SIRPB1;C2;C3;CLEC7A;CCL2;CD300LF;TUB;FCER1G;IL15;SLC11A1;SFTPD;APOA1;PTPRC;IL1B;IL2RB;CD47;DOCK2;GAS6;FCGR2B
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),68/310,1.2900047532131538e-10,1.318015371013955e-07,0,0,2.651031196485742,60.36717490791747,CCL4L1;LRRK2;ARRB2;ADRA1B;FGF2;TNF;GHR;PLCE1;TNFAIP8L3;CD36;PDGFRA;EDN1;FGG;NPNT;DOK2;IL1B;DOK6;KIT;ROR1;GAS6;TLR4;CD44;AVPI1;CCL14;CCL13;NDRG4;RAMP3;NOTCH1;CCL3L1;PLA2G1B;ALOX15;C5AR1;PDGFB;PLA2G5;ADRB2;AGER;ART4;RAP1A;CCL8;GPNMB;CCL5;CCL3;S100A12;CCL2;IGFBP6;CCL18;CCR1;CCL24;CD74;NTRK2;CCL23;CCL21;ANGPT1;CAV2;PLA2G2A;LAPTM5;OSM;IGF1;TPD52L1;MARCO;BMP2;IL6;PTPRC;FGF18;GHRL;TEK;FGFR4;HLA-DRB1
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),26/66,1.5999215477226934e-10,1.318015371013955e-07,0,0,6.067003628823224,136.84670491319773,CCL14;CCL13;CCL3L1;CCL4L1;AQP4;AIF1;CCL8;CCL5;CASP1;CCL3;CCL2;CD58;CCL18;IL12RB1;GBP4;HLA-DPA1;JAK1;CCL24;CCL23;CCL21;IFNGR1;HCK;IRF1;IRF8;CD47;TLR4
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),57/244,3.2706742461965976e-10,2.245317870013965e-07,0,0,2.867938668905631,62.63823197056786,PTPRR;CCL4L1;APIP;ARRB2;FGF2;TNF;TIMP3;TNFAIP8L3;CD36;ROS1;PDGFRA;SEMA6A;FGG;NPNT;TGFBR3;IL1B;ROR1;GAS6;TLR4;CD44;CCL14;CCL13;NDRG4;RAMP3;NOTCH1;CCL3L1;ALOX15;C5AR1;PDGFB;FBLN1;PLA2G5;AGER;PKHD1;RAP1A;CCL8;RRAS;GPNMB;CCL5;CCL3;CCL2;CCL18;CCR1;CCL24;CD74;NTRK2;CCL23;CCL21;ANGPT1;PLA2G2A;IGF1;MARCO;BMP2;PTPRC;SPRY1;TEK;FGFR4;HLA-DRB1
GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),28/79,5.794770257101128e-10,3.075654129116025e-07,0,0,5.126652217711164,109.03822822732889,CD151;NEDD4L;PLA2G5;GATA2;CLU;TNF;DLL1;SIRPB1;C3;CLEC7A;GPC3;SNCA;TUB;FCER1G;CCL21;IL15;SGIP1;SLC11A1;SFTPD;APOA1;F3;DAB2;IL1B;IL2RB;CD47;DOCK2;GAS6;FCGR2B
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),42/155,5.973593841448943e-10,3.075654129116025e-07,0,0,3.4840518298183367,73.99604245307881,PTGER4;CEBPA;PDGFB;ETS1;TNF;AIF1;PPM1F;THBD;CAMK2N1;HYAL2;CCL5;CASP1;CCL3;NLRP3;S100A12;EMILIN2;SASH1;SNCA;IL33;CCL21;IL15;RARRES2;PDE2A;PLA2G2A;LY86;SH2D1B;OSM;NKG7;IL16;GPR4;BMP6;PLSCR1;IL1B;MMRN2;AGTR1;TLR8;TLR7;CD47;LCP1;S100A9;TLR4;S100A8
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),58/257,9.41091769015428e-10,4.307063329527275e-07,0,0,2.741880196978567,56.98718443282073,CNTFR;CSF3;SPI1;CSF3R;CCL4L1;CXCL1;TNF;CXCL2;CXCL5;OASL;GHR;IL18RAP;LEPR;CTSG;MAP3K7;JAK1;FCER1G;IFNA14;IL15;IL11RA;LIFR;TNFRSF1B;HCK;IL1A;IL1B;KIT;IL3RA;IFNA10;CCL14;CCL13;CEBPA;CCL3L1;PDGFB;LILRA2;LILRA3;DUOX1;IL1RL1;CCL8;CCL5;CCL3;CCL2;CCL18;IL12RB1;CD300LF;CCR1;EGR1;CCL24;IL33;CCL23;CCL21;OSM;PPBP;LILRB2;IL6;CXCL12;IL2RB;IL7R;IL18R1
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),55/240,1.4086423722837671e-09,5.802197931436836e-07,0,0,2.7945945945945945,56.95562484955849,RB1;TNFAIP3;METRNL;ETS1;TNF;CDH5;HYAL2;CASP1;FFAR2;SLC39A8;TNFAIP8L2;GGT1;PTGIS;IL15;APOA1;IL16;TNFRSF1B;HCK;IL1B;AGTR1;PPARG;TLR7;CD47;LCP1;LETMD1;DNASE1L3;TLR4;S100A9;MGLL;S100A8;PTGER4;CEBPA;ALOX15;AGER;CAMK2N1;ALOX5;CCL5;CCL3;S100A12;NLRP3;SNCA;IL33;PDE2A;PLA2G2A;OSM;NKG7;GPR4;KLF4;SELE;BST1;IL6;GHRL;TEK;PIK3AP1;CD200
