Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),18/59,2.595026799523484e-06,0.0040557311486006,0,0,4.454539257522256,57.29389956601227,STIL;NEK6;CDCA8;TTK;KIF11;WDR62;TUBG1;AURKB;CENPE;CCNB1;INCENP;KIF4A;NUSAP1;TACC3;RCC1;BIRC5;MAP4;SPC25
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),22/85,4.465032251236865e-06,0.0040557311486006,0,0,3.5468409586056646,43.69436415738562,STIL;NEK6;CDCA8;KIF23;TTK;KIF11;WDR62;TUBG1;AURKB;AURKA;CENPE;TPX2;CCNB1;KIFC2;INCENP;KIFC1;PRC1;KIF4A;RCC1;BIRC5;MAP4;SPC25
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),7/10,4.563410575078092e-06,0.0040557311486006,0,0,23.57962962962963,289.9690872153894,RACGAP1;INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),7/10,4.563410575078092e-06,0.0040557311486006,0,0,23.57962962962963,289.9690872153894,RACGAP1;INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),11/28,1.598648132955568e-05,0.011366388225314,0,0,6.548408227433512,72.3190954034823,CDC20;CENPF;TTK;KNTC1;FBXO5;TRIP13;BUB1;ZWINT;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),10/26,4.849060160867319e-05,0.0215480110898541,0,0,6.321994991652755,62.80358686709481,CDC20;CENPF;TTK;KNTC1;TRIP13;BUB1;ZWINT;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),10/26,4.849060160867319e-05,0.0215480110898541,0,0,6.321994991652755,62.80358686709481,CDC20;CENPF;TTK;KNTC1;TRIP13;BUB1;ZWINT;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),10/26,4.849060160867319e-05,0.0215480110898541,0,0,6.321994991652755,62.80358686709481,CDC20;CENPF;TTK;KNTC1;TRIP13;BUB1;ZWINT;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),24/118,0.00012343684985653184,0.0472634821715291,0,0,2.59171131609408,23.324833922803304,PLK4;SVIL;STIL;FEN1;SPAG5;DDX11;XRCC3;NCAPG2;KIF14;LRP5;CDCA8;TGFA;CDC7;KIF23;AURKB;CDC14B;AURKA;RACGAP1;INCENP;NUSAP1;BIRC5;ECT2;E2F7;MAD2L1
GO_Biological_Process_2023,Regulation Of Nuclear Division (GO:0051783),8/19,0.00013294931693819738,0.0472634821715291,0,0,7.350346151902572,65.60582754201356,CUL7;CDCA2;RCC1;NEK2;FBXO5;CDC25C;MKI67;PKMYT1
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),14/53,0.0001884325051858664,0.0608979596305231,0,0,3.6345903585167383,31.17304801299684,BLM;CDKN2A;CCNF;CDC25C;PKMYT1;CDC25A;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CDK5RAP3;CDK5R1;CDKN3
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),22/109,0.000260467806398444,0.077163587645539,0,0,2.5650020927911394,21.16904252633743,COL17A1;MMP1;COL11A1;COL22A1;APLP1;MMP3;MMP9;MMP10;COL1A1;MMP12;MMP11;COL3A1;COL1A2;MMP13;SPINT1;MMP15;COL7A1;SMOC1;COL5A2;NF1;COL10A1;COL9A2
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),22/110,0.0002982576000163724,0.0815619821583233,0,0,2.5357142857142856,20.583795145883013,COL17A1;MMP1;COL11A1;COL22A1;APLP1;MMP3;MMP9;MMP10;COL1A1;MMP12;MMP11;COL3A1;COL1A2;MMP13;SPINT1;MMP15;COL7A1;SMOC1;COL5A2;NF1;COL10A1;COL9A2
