Symbol,log2FC,p_value,FDR,consistency,significant
15E1.2,0.3084457831325301,0.023994149259696628,0.044989315213437936,0.5542168674698795,False
2'-PDE,0.04177108433734939,0.5255082537010146,0.6335685500286153,0.5903614457831325,False
76P,0.0905783132530121,0.2265534009484781,0.3238113669379899,0.5662650602409639,False
7A5,0.5723975903614458,5.703964838794788e-08,2.1154313247944567e-07,0.7590361445783133,False
A1BG,-0.10683132530120479,0.2057744617298284,0.29901766758478526,0.5060240963855421,False
A2BP1,0.12108433734939751,0.04478036550074589,0.07900225369895808,0.5662650602409639,False
A2M,-1.4160361445783134,4.311886677024687e-24,1.0914865379453535e-22,0.9518072289156626,True
A2ML1,0.16810843373493972,0.02046069562609723,0.038899939969203615,0.5421686746987951,False
A3GALT2,0.09715662650602408,0.009763139158520617,0.01967320872813976,0.6987951807228916,False
A4GALT,-1.0581927710843373,1.909315033493674e-13,1.258693300131616e-12,0.7951807228915663,True
A4GNT,-0.025855421686746982,0.6409749040357434,0.7360477366917628,0.5421686746987951,False
AAA1,0.17244578313253012,0.026555533240889023,0.049329884311662416,0.5662650602409639,False
AAAS,0.0834578313253012,0.29375060422855337,0.3999259002233971,0.5542168674698795,False
AACS,0.543156626506024,1.0643815182717621e-08,4.260875818227164e-08,0.7951807228915663,False
AACSL,-0.08916867469879514,0.21726138929259797,0.3126732548051472,0.6024096385542169,False
AADAC,-3.180180722891566,7.158008724850171e-22,1.3167009541589901e-20,0.9156626506024096,True
AADACL1,-0.62610843373494,1.959308822224189e-06,6.189595981296829e-06,0.7349397590361446,False
AADACL2,-0.2597951807228916,0.0008980575071926386,0.0020994838249384974,0.6867469879518072,False
AADAT,0.41150602409638554,0.002110716281147469,0.004691300209015517,0.6987951807228916,False
AAK1,0.1423493975903614,0.036039905925533786,0.06507134185561246,0.6265060240963856,False
AAMP,0.692566265060241,5.651131758864406e-15,4.4828435280795286e-14,0.8554216867469879,False
AANAT,0.1065542168674699,0.014672688714408053,0.02864281774819988,0.5903614457831325,False
AARS,0.4436385542168676,2.3971459678621323e-12,1.412633621089012e-11,0.8072289156626506,False
AARSD1,0.7896144578313252,1.0845387092462194e-20,1.7137058859145232e-19,0.9156626506024096,False
AARSL,0.4029397590361446,2.421962955791961e-10,1.1586073259749434e-09,0.8072289156626506,False
AASDH,0.030975903614457848,0.6136834758993203,0.7121551473594838,0.5662650602409639,False
AASDHPPT,-0.10354216867469868,0.23277239471836383,0.3308870505368019,0.5903614457831325,False
AASS,-0.046518072289156595,0.7253454082935928,0.8030672581193989,0.4939759036144578,False
AATF,0.5898915662650602,7.657330277867288e-16,6.74523830571135e-15,0.891566265060241,False
AATK,-0.22891566265060245,0.05408361866299729,0.09352142868316007,0.5662650602409639,False
ABAT,0.14759036144578316,0.17703135737626777,0.2638253786424573,0.5662650602409639,False
ABC1,0.9240722891566266,9.550091947233886e-22,1.730444010951781e-20,0.927710843373494,False
ABCA1,-0.5526265060240964,1.6692592017333535e-08,6.546316339154695e-08,0.7710843373493976,False
ABCA10,-0.6106987951807229,3.4478747984854692e-06,1.0615265021598733e-05,0.7349397590361446,False
ABCA11,0.24074698795180718,0.007383677607348232,0.015148448252495082,0.6144578313253012,False
ABCA12,1.245313253012048,4.1296283720980745e-15,3.327771485149668e-14,0.8313253012048193,True
ABCA13,0.2536385542168675,0.31265310740641805,0.42011185460692346,0.5421686746987951,False
ABCA2,1.3913253012048192,1.9125849456740177e-18,2.2918587384807825e-17,0.891566265060241,True
ABCA3,-2.1452891566265064,2.4929087907331235e-20,3.781729256782985e-19,0.9397590361445783,True
ABCA4,2.2267951807228914,2.8322526220918625e-12,1.654477765924615e-11,0.7951807228915663,True
ABCA5,-0.13018072289156626,0.3027252744715007,0.40949279430823515,0.6506024096385542,False
ABCA6,-2.377578313253012,5.703014038198507e-35,7.11199397704755e-33,0.9759036144578314,True
ABCA7,0.34907228915662636,0.018494643989094384,0.03545352596507883,0.6024096385542169,False
ABCA8,-3.7457710843373495,6.492748009900815e-44,4.346723930838862e-41,0.9879518072289156,True
ABCA9,-2.4296144578313257,2.6708929728994486e-43,1.5099448273458217e-40,0.9879518072289156,True
ABCB1,-2.1229879518072288,1.505960289169938e-24,4.0328031322613916e-23,0.9397590361445783,True
