validation_rank,gene,discovery_log2FC,discovery_FDR,consistency,validation_AUC,direction
1,ITLN2,-6.018506024096386,3.396012512700672e-47,1.0,0.9904166666666666,Down
2,FABP4,-6.02567469879518,7.461618544261931e-57,1.0,0.985,Down
3,MMP11,5.120180722891567,7.815708990040026e-34,0.9879518072289156,0.9691666666666667,Up
4,CA4,-5.490265060240962,5.6285151991583054e-42,1.0,0.9691666666666666,Down
5,AGER,-5.715253012048193,6.053710484906244e-43,1.0,0.9650000000000001,Down
6,MCEMP1,-5.051819277108433,6.501955786570325e-38,1.0,0.96375,Down
7,FAM107A,-5.176530120481927,1.5977035747868764e-46,0.9879518072289156,0.9612499999999999,Down
8,SFTPA1,-5.535240963855422,3.435711884224043e-25,0.963855421686747,0.9295833333333333,Down
9,GCNT3,4.924301204819277,1.819665153060014e-29,0.9518072289156626,0.91875,Up
10,ITLN1,-5.118361445783132,2.2706793469142803e-21,0.9156626506024096,0.8879166666666667,Down
11,EEF1A2,5.045012048192771,2.1725847261182396e-21,0.8795180722891566,0.8870833333333333,Up
12,CLDN18,-6.032674698795182,7.951453428202714e-28,0.9518072289156626,0.8700000000000001,Down
