Symbol,log2FC,p_value,FDR,consistency,significant,abs_log2FC,direction
CLDN18,-6.032674698795182,1.3815025217238992e-29,7.951453428202714e-28,0.9518072289156626,True,6.032674698795182,Down
FABP4,-6.02567469879518,2.9330261573356645e-61,7.461618544261931e-57,1.0,True,6.02567469879518,Down
ITLN2,-6.018506024096386,1.2014195210025962e-50,3.396012512700672e-47,1.0,True,6.018506024096386,Down
AGER,-5.715253012048193,4.997166673861286e-46,6.053710484906244e-43,1.0,True,5.715253012048193,Down
SFTPA1,-5.535240963855422,9.521135528215214e-27,3.435711884224043e-25,0.963855421686747,True,5.535240963855422,Down
CA4,-5.490265060240962,6.416153332373855e-45,5.6285151991583054e-42,1.0,True,5.490265060240962,Down
GDDR,-5.438819277108434,1.463635831555282e-32,1.2621998493141144e-30,0.963855421686747,True,5.438819277108434,Down
FAM107A,-5.176530120481927,8.164365751662498e-50,1.5977035747868764e-46,0.9879518072289156,True,5.176530120481927,Down
MMP11,5.120180722891567,5.314927890239483e-36,7.815708990040026e-34,0.9879518072289156,True,5.120180722891567,Up
ITLN1,-5.118361445783132,1.0951743548206846e-22,2.2706793469142803e-21,0.9156626506024096,True,5.118361445783132,Down
XAGE1,5.057397590361446,5.970419997974067e-18,6.74455971351955e-17,0.7951807228915663,True,5.057397590361446,Up
MCEMP1,-5.051819277108433,2.095756189067479e-40,6.501955786570325e-38,1.0,True,5.051819277108433,Down
EEF1A2,5.045012048192771,1.0418841846950678e-22,2.1725847261182396e-21,0.8795180722891566,True,5.045012048192771,Up
XLKD1,-4.968048192771085,1.1396348617879293e-51,7.24807772097123e-48,1.0,True,4.968048192771085,Down
GCNT3,4.924301204819277,2.4462479651986036e-31,1.819665153060014e-29,0.9518072289156626,True,4.924301204819277,Up
